Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2019-67;23.8.2019;Pysäköinnin kieltäminen Vannastiellä;HEL 2019-008586;Vannastie;https://paatokset.hel.fi/fi/asia/hel-2019-008586
2019-77;20.9.2019;Sulkulaitteen asettaminen Kilpolanpolulle;HEL 2019-008806;Kilpolanpolku;https://paatokset.hel.fi/fi/asia/hel-2019-008806
2019-88;30.9.2019;Karavaanikorttelin liikenteenohjaussuunnitelma;HEL 2018-005848;6991;https://paatokset.hel.fi/fi/asia/hel-2018-005848
2019-87;30.9.2019;Pysäköinnin kieltäminen Pienen Villasaaren tiellä;HEL 2019-009733;Pienen Villasaaren tie;https://paatokset.hel.fi/fi/asia/hel-2019-009733
2019-91;4.10.2019;Myllypuron kaakkoisosan liikenteen ohjaussuunnitelma;HEL 2019-007954;6988;https://paatokset.hel.fi/fi/asia/hel-2019-007954
2019-93;4.10.2019;Pyöräliikenteen ohjausjärjestelyt Mäkitorpantiellä ja Siltavoudintiellä välillä Oulunkylän tori Käskynhaltijantie;HEL 2019-009109;6998, 6999;https://paatokset.hel.fi/fi/asia/hel-2019-009109
2019-91;4.10.2019;Vattuniemenkuja 4:n ympäristön liikenteen ohjaussuunnitelma;HEL 2019-009694;7001;https://paatokset.hel.fi/fi/asia/hel-2019-009694
2019-97;11.10.2019;Haavikkopolun ja Haavikkotien itäosan pysäköintijärjestelyt;HEL 2019-010192;7005;https://paatokset.hel.fi/fi/asia/hel-2019-010192
2019-96;11.10.2019;Vattuniemenkadun yhdistetyn pyörätien ja jalkakäytävän muuttaminen jalkakäytäväksi;HEL 2019-010433;Vattuniemenkatu;https://paatokset.hel.fi/fi/asia/hel-2019-010433
2019-95;11.10.2019;Vain linjaliikenteen salliminen Aleksis Kiven kadun joukkoliikennekaistalla;HEL 2019-010478;Aleksis Kiven katu;https://paatokset.hel.fi/fi/asia/hel-2019-010478
2019-98;18.10.2019;Lastausruudun merkitseminen Kasarmikatu 48-46 edustalle;HEL 2019-010283;Kasarmikatu 48-46;https://paatokset.hel.fi/fi/asia/hel-2019-010283
2019-103;18.10.2019;Lastausruudun pidentäminen Yliopistonkatu 10 edustalla;HEL 2019-010286;Yliopistonkatu 10;https://paatokset.hel.fi/fi/asia/hel-2019-010286
