Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2020-47;17.4.2020;Tallberginkadun, Tammasaarenkadun ja Tammasaarenlaiturin liikenteen ohjaussuunnitelma;HEL 2020-002367;7041;https://paatokset.hel.fi/fi/asia/hel-2020-002367
2020-46;17.4.2020;Pyörätelineiden sijoittaminen Ruoholahteen;HEL 2020-003961;7053;https://paatokset.hel.fi/fi/asia/hel-2020-003961
2020-45;17.4.2020;Pysäköinnin kieltäminen Alkukujan köäntäpaikalla;HEL 2020-004674;Alkukuja 3;https://paatokset.hel.fi/fi/asia/hel-2020-004674
2020-44;17.4.2020;Pysäköintijärjestelyjen tarkistaminen ministeriäiden edustoilla  ;HEL 2020-004784;7058;https://paatokset.hel.fi/fi/asia/hel-2020-004784
2020-48;24.4.2020;Automaattisten kameravalvontapisteiden toteuttaminen Helsinkiin 2020;HEL 2020-004859;7059;https://paatokset.hel.fi/fi/asia/hel-2020-004859
2020-49;8.5.2020;Albertinkadun pysäköintijärjestelyt välillö lönnrotinkatu Bulevardi;HEL 2020-005610;7061;https://paatokset.hel.fi/fi/asia/hel-2020-005610
2020-51;15.5.2020;Sahamyllyntien liikenteen rauhoittaminen;HEL 2020-001784;Sahamyllyntie, Viikinmäentie ja Pornaistenkuja;https://paatokset.hel.fi/fi/asia/hel-2020-001784
2020-50;15.5.2020;Runeberginkadun liikenteen ohjaussuunnitelma välillä Tykistönkatu Mannerheimintie;HEL 2020-006362;6748;https://paatokset.hel.fi/fi/asia/hel-2020-006362
2020-53;22.5.2020;Helsinginkadun, Läntisen Brahenkadun ja Kaarlenkadun liikenteen ohjaussuunnitelma;HEL 2020-006364;7043;https://paatokset.hel.fi/fi/asia/hel-2020-006364
2020-54;22.5.2020;Liikennejärjestelyt Kanavakatu 1 ja Ankkurikatu 4 kohdalla;HEL 2020-006649;7080;https://paatokset.hel.fi/fi/asia/hel-2020-006649
2020-55;5.6.2020;Lapsista varoittaminen Lahnalahdentiellä;HEL 2020-006306;Lahnalahdentie;https://paatokset.hel.fi/fi/asia/hel-2020-006306
2020-56;5.6.2020;Linnanrakentajantien liikenneympyrän siltojen painorajoitusten merkitseminen;HEL 2020-007305;7084;https://paatokset.hel.fi/fi/asia/hel-2020-007305
2020-57;5.6.2020;Mannerheimintien sillan painorajoitusten merkitseminen Baanan kohdalla;HEL 2020-007307;7085;https://paatokset.hel.fi/fi/asia/hel-2020-007307
2020-58;12.6.2020;CD-paikkojen merkitseminen Pohjoisesplanadi 25 edustalla;HEL 2020-007361;7082;https://paatokset.hel.fi/fi/asia/hel-2020-007361
2020-61;18.6.2020;Kuormauspaikan merkitseminen Yrjönkatu 38 edustalle;HEL 2020-007694;Yrjönkatu 38;https://paatokset.hel.fi/fi/asia/hel-2020-007694
2020-59;18.6.2020;Vuosaaren sataman Muugan lähtöselvitysalueelle opastaminen;HEL 2020-007788;7090, 7091;https://paatokset.hel.fi/fi/asia/hel-2020-007788
2020-60;18.6.2020;Hietalahdenrannan, Telakkakadun ja Eiranrannan liikenteen ohjaussuunnitelma;HEL 2020-007789;7087;https://paatokset.hel.fi/fi/asia/hel-2020-007789
2020-62;18.6.2020;Kuormauspaikan merkitseminen Selkämerenkatu 3 edustalle;HEL 2020-007794;7088;https://paatokset.hel.fi/fi/asia/hel-2020-007794
2020-63;23.6.2020;Pysäkki- ja pysäköintijärjestelyt Vattuniemessä;HEL 2020-006876;7083;https://paatokset.hel.fi/fi/asia/hel-2020-006876
2020-64;26.6.2020;Ajoestetolppien asettaminen Hampurinkuja 2 kohdalle;HEL 2020-000707;Hampurinkuja 2;https://paatokset.hel.fi/fi/asia/hel-2020-000707
2020-67;26.6.2020;pysäköintijärjestelyt Bästaksentien pohjoisella kääntäpaikalla;HEL 2020-006960;7083;https://paatokset.hel.fi/fi/asia/hel-2020-006960
2020-68;26.6.2020;Pysäkäinnin kieltäminen Timoteikujan itäreunalla;HEL 2020-007276;Timoteikuja;https://paatokset.hel.fi/fi/asia/hel-2020-007276
2020-65;26.6.2020;Sulkulaitteiden asettaminen Kaivossepänkujan pohjois- ja eteläpäätyyn;HEL 2020-007620;Kaivossepänkuja;https://paatokset.hel.fi/fi/asia/hel-2020-007620
2020-69;26.6.2020;Kaksisuuntaisen pyöräliikenteen järjestelyt yksisuuntaisilla kaduilla Kruununhaassa, Kluuvissa, Kampissa ja Etu-Täälässä;HEL 2020-007906;Kaksisuuntaisen pyäräliikenteen järjestelyt yksisuuntaisilla kaduilla Kruununhaassa, Kluuvissa, Kampissa ja Etu-Täälässä;https://paatokset.hel.fi/fi/asia/hel-2020-007906
2020-71;26.6.2020;Mustikkamaan sillan painorajoitusten merkitseminen;HEL 2020-007996;Mustikkamaan silta;https://paatokset.hel.fi/fi/asia/hel-2020-007996
2020-70;26.6.2020;Ajoneuvon suurimman sallitun korkeuden rajoittaminen Helsinginkadun alikulkukäytävien kohdalla;HEL 2020-007997;7092;https://paatokset.hel.fi/fi/asia/hel-2020-007997
2020-66;26.6.2020;Kaksisuuntaisen pyöräilyn salliminen Hopeasalmentiellä välillä Kalliokaivonmäki Schybergsonintie;HEL 2020-008008;Hopeasalmentie;https://paatokset.hel.fi/fi/asia/hel-2020-008008
2020-72;4.8.2020;CD-paikkojen merkitseminen Fredrikinkatu 20 vastapäätä ja asukaspysäköintipaikkojen lisääminen Rauhankatu 1 ja 3 edustalle;HEL 2020-009025;7098, Rauhankatu 1 ja 3;https://paatokset.hel.fi/fi/asia/hel-2020-009025
2020-73;17.8.2020;Pysäköintijärjestelyt Keinutiellä;HEL 2020-009070;Keinutie_3-9;https://paatokset.hel.fi/fi/asia/hel-2020-009070
2020-75;21.8.2020;Pakilantien liikenteen ohjaussuunnitelma Nuotiokujan kohdalla ;HEL 2020-009198;7096;https://paatokset.hel.fi/fi/asia/hel-2020-009198
2020-76;21.8.2020;Pysäköintijärjestelyt Linnavuorentie 15 ja 17 edustalla;HEL 2020-009232;Linnavuorentie-15-17_c;https://paatokset.hel.fi/fi/asia/hel-2020-009232
2020-74;21.8.2020;Laivalahdenkadun ja Laivalahdenportin ryhmitysjärjestelyt Linnanrakentajantien risteyksessä;HEL 2020-009381;7099;https://paatokset.hel.fi/fi/asia/hel-2020-009381
2020-77;28.8.2020;Telkkäkujan liikenteen ohjaussuunnitelma;HEL 2020-009306;7101;https://paatokset.hel.fi/fi/asia/hel-2020-009306
2020-78;28.8.2020;Pysäköintipaikkojen merkitseminen Itäreimarintiellä;HEL 2020-009416;7100;https://paatokset.hel.fi/fi/asia/hel-2020-009416
2020-79;4.9.2020;Hietalahdenrannan, Telakkakadun ja Eiranrannan liikenteen ohjaussuunnitelma;HEL 2020-009903;7103;https://paatokset.hel.fi/fi/asia/hel-2020-009903
2020-80;11.9.2020;Tyynelänkujan kääntäpaikan ja leikkipuisto Traktorin liikenteen ohjaussuunnitelma;HEL 2020-009577;7097;https://paatokset.hel.fi/fi/asia/hel-2020-009577
2020-81;11.9.2020;Ruususenrinteen pysäköintijärjestelyt;HEL 2020-009720;7102;https://paatokset.hel.fi/fi/asia/hel-2020-009720
2020-82;16.10.2020;Läpiajon estäminen Veneentekijäntien eteläpään puistokäytävällä;HEL 2019-009129;Veneentekijäntie;https://paatokset.hel.fi/fi/asia/hel-2019-009129
2020-85;23.10.2020;Ala-Malmin torin jalankulun viitta;HEL 2020-010707;Ala-Malmin tori;https://paatokset.hel.fi/fi/asia/hel-2020-010707
2020-86;23.10.2020;CD-paikkojen merkitseminen Bernhardinkatu 5 edustalle ja asukaspysäköintipaikkojen lisääminen Tehtaankatu 34 A edustalle;HEL 2020-011243;Tehtaankatu 34, Bernhardinkatu 5;https://paatokset.hel.fi/fi/asia/hel-2020-011243
2020-83;23.10.2020;Pysäköinnin rajoittaminen Kääpätiellä;HEL 2020-011526;Kääpätie;https://paatokset.hel.fi/fi/asia/hel-2020-011526
2020-84;23.10.2020;Pysäköinnin kieltäminen Tukkipolun kääntöpaikalla;HEL 2020-011542;Tukkipolku;https://paatokset.hel.fi/fi/asia/hel-2020-011542
2020-88;30.10.2020;Liikenteen ohjausjärjestelyt Jokiniementien pohjoispäässä;HEL 2020-011405;7111;https://paatokset.hel.fi/fi/asia/hel-2020-011405
2020-89;6.11.2020;Reunatukijärjestelyt Untuvaisentie 6 edustalla;HEL 2020-010322;7110;https://paatokset.hel.fi/fi/asia/hel-2020-010322
2020-90;6.11.2020;Hietaniemenkadun ja Hietakannaksentien liikenteen ohjaussuunnitelma;HEL 2020-011898;7086;https://paatokset.hel.fi/fi/asia/hel-2020-011898
2020-91;13.11.2020;Atlantinkadun liikenteen ohjaussuunnitelma;HEL 2019-001196;6924;https://paatokset.hel.fi/fi/asia/hel-2019-001196
2020-92;4.12.2020;Lapsista varoittaminen Eiranrannassa;HEL 2020-010761;Eiranranta;https://paatokset.hel.fi/fi/asia/hel-2020-010761
2020-93;4.12.2020;Laivalahdenkaaren länsiosan, Laivalahden puistotien pohjoisosan ja Petter Wetterin tien eteläosan liikenteen ohjaussuunnitelma;HEL 2020-012262;7114;https://paatokset.hel.fi/fi/asia/hel-2020-012262
2020-94;4.12.2020;Kirvesmiehenkadun eteläosan liikenteen ohjaussuunnitelma;HEL 2020-012263;7115;https://paatokset.hel.fi/fi/asia/hel-2020-012263
2020-98;11.12.2020;Pysäkkijärjestelyt Laivurinkadun eteläpäässä;HEL 2020-012763;7120;https://paatokset.hel.fi/fi/asia/hel-2020-012763
2020-99;11.12.2020;Rosina Heikelin puiston raitiotien kääntöpaikan liikenteen ohjaussuunnitelma;HEL 2020-013204;7117;https://paatokset.hel.fi/fi/asia/hel-2020-013204
2020-97;11.12.2020;Kuormauspaikan merkitseminen Arkadiankatu 25 edustalle;HEL 2020-013362;Arkadiankatu 25;https://paatokset.hel.fi/fi/asia/hel-2020-013362
2020-96;11.12.2020;Pysäkki- ja pysäköintijärjestelyt Pelimannintien länsipäässä;HEL 2020-013433;7121;https://paatokset.hel.fi/fi/asia/hel-2020-013433
2020-100;18.12.2020;Liikennemerkin vaikutuksen tehostaminen sulkulaittein Tankovainiontiellä;HEL 2020-011963;7122;https://paatokset.hel.fi/fi/asia/hel-2020-011963
2020-101;18.12.2020;Liikennejärjestelyt Raumantien itäpäässä;HEL 2020-013093;7109;https://paatokset.hel.fi/fi/asia/hel-2020-013093
2021-2;15.1.2021;Gunillantien ympäristön liikenteen ohjaussuunnitelma;HEL 2020-013904;7124;https://paatokset.hel.fi/fi/asia/hel-2020-013904
2021-3;15.1.2021;Kaupunkipyöräjärjestelmän laajentuminen esikaupunkialueille;HEL 2020-014142;7126, 7127, 7128, 7129, 7130;https://paatokset.hel.fi/fi/asia/hel-2020-014142
2021-6;22.1.2021;Pysäköintijärjestelyt Sinivuokonpolulla ja Ison-Antintiellä;HEL 2021-000122;7131;https://paatokset.hel.fi/fi/asia/hel-2021-000122
2021-4;22.1.2021;Silttikujan liikenteen ohjaussuunnitelma;HEL 2021-000355;7133;https://paatokset.hel.fi/fi/asia/hel-2021-000355
2021-5;22.1.2021;Punakiventien pysäköintijärjestelyiden selkeyttäminen;HEL 2021-000360;7134;https://paatokset.hel.fi/fi/asia/hel-2021-000360
2021-7;22.1.2021;Nopeusrajoituksen alentaminen Linnoittajantiellä ja Ruutikujalla;HEL 2021-000364;Linnoittajantie_Ruutikuja;https://paatokset.hel.fi/fi/asia/hel-2021-000364
2021-10;29.1.2021;Vuorikummuntien eteläpään liikenteenohjaussuunnitelma;HEL 2021-000331;7132;https://paatokset.hel.fi/fi/asia/hel-2021-000331
2021-12;5.2.2021;Pysäköinnin kieltäminen Viertolantiellä;HEL 2020-010402;Viertolantie;https://paatokset.hel.fi/fi/asia/hel-2020-010402
2021-11;5.2.2021;Tyynenmerenkadun liikenteen ohjaussuunnitelma välillä Atlantinkatu Länsiterminaali 1;HEL 2021-001097;7138;https://paatokset.hel.fi/fi/asia/hel-2021-001097
2021-13;5.2.2021;CD-paikkojen merkitseminen Hopeasalmentie 4 ja 6 edustalle sekä asukaspysäköintipaikkojen lisääminen Satamakatu 4 edustalle;HEL 2021-001315;Hopeasalmentie 4 ja 6, Satamakatu 4;https://paatokset.hel.fi/fi/asia/hel-2021-001315
2021-18;12.2.2021;Kulosaaren puistotien ympäristön liikenteen ohjaussuunnitelma;HEL 2020-009930;7104;https://paatokset.hel.fi/fi/asia/hel-2020-009930
2021-17;12.2.2021;Asukaspysäköintipaikkojen lisääminen Itälahdenkatu 7-13 edustalle;HEL 2021-000265;Itälahdenkatu 7-13;https://paatokset.hel.fi/fi/asia/hel-2021-000265
2021-26;5.3.2021;Saukonlaiturin alueen liikenteen ohjaussuunnitelma;HEL 2019-000612;6922;https://paatokset.hel.fi/fi/asia/hel-2019-000612
2021-27;26.3.2021;Linja-auton pysäkkijärjestelyt Mechelininkadun länsireunassa Hesperian esplanadin kohdalla;HEL 2021-002989;7143;https://paatokset.hel.fi/fi/asia/hel-2021-002989
2021-28;9.4.2021;Mannerheimintien yksisuuntaiset pyöräliikennejärjestelyt välillä Honkatie Hakamäentie;HEL 2020-009309;7095;https://paatokset.hel.fi/fi/asia/hel-2020-009309
2021-29;9.4.2021;Rajasaaren sillan liikenteen ohjaussuunnitelma;HEL 2020-012734;7118;https://paatokset.hel.fi/fi/asia/hel-2020-012734
2021-32;9.4.2021;Konepajanraitin yhdistetyn pyörätien ja jalkakäytävän merkitseminen rinnakkaiseksi pyörätieksi ja jalkakäytäväksi;HEL 2021-001877;Konepajanraitti;https://paatokset.hel.fi/fi/asia/hel-2021-001877
2021-31;9.4.2021;Pysäyttämisen kieltäminen Vallilantie 20 edustalla;HEL 2021-002607;Vallilantie;https://paatokset.hel.fi/fi/asia/hel-2021-002607
2021-33;9.4.2021;Pysäköinnin kieltäminen Satumaanpolku 9 edustalla;HEL 2021-002978;Satumaanpolku 9;https://paatokset.hel.fi/fi/asia/hel-2021-002978
2021-30;9.4.2021;Linja-auton pysäkkijärjestelyt Mechelininkatu 8 ja 11 edustalla;HEL 2021-002990;7144;https://paatokset.hel.fi/fi/asia/hel-2021-002990
2021-35;16.4.2021;Liikennejärjestelyt Siltasaarenkadulla, Pitkäsillalla ja John Stenbergin rannassa;HEL 2018-010372;6973;https://paatokset.hel.fi/fi/asia/hel-2018-010372
2021-34;16.4.2021;Sammatintien pohjoispään liikenteen ohjaussuunnitelma;HEL 2021-004233;7142;https://paatokset.hel.fi/fi/asia/hel-2021-004233
2021-36;23.4.2021;Lippuautomaattipaikkojen lisääminen Pohjoisesplanadi 33 edustalle;HEL 2021-004821;Pohjoisesplanadi 33;https://paatokset.hel.fi/fi/asia/hel-2021-004821
2021-38;30.4.2021;HUS Meilahti sairaala-alueen pysäköintilaitosten opastus;HEL 2021-004137;7125;https://paatokset.hel.fi/fi/asia/hel-2021-004137
2021-37;30.4.2021;Hiekkarannantien liikenteen ohjaussuunnitelma välillä Eteläinen Hesperiankatu Hietaniemenkatu;HEL 2021-004610;7155;https://paatokset.hel.fi/fi/asia/hel-2021-004610
2021-39;30.4.2021;Autoliikenteen opastuksen tarkistaminen Vanhalla Porvoontiellä;HEL 2021-004957;Vanha Porvoontie;https://paatokset.hel.fi/fi/asia/hel-2021-004957
2021-40;30.4.2021;Polkupyörällä ajon kieltäminen Haltialan aarnialueella;HEL 2021-005264;Haltialan aarnialue;https://paatokset.hel.fi/fi/asia/hel-2021-005264
2021-42;7.5.2021;Pyörätelineiden sijoittaminen Kamppiin, Kaartinkaupunkiin ja Punavuoreen;HEL 2020-008062;7094;https://paatokset.hel.fi/fi/asia/hel-2020-008062
2021-41;7.5.2021;Automaattisten kameravalvontapisteiden toteuttaminen Helsinkiin 2021;HEL 2021-004070;7147;https://paatokset.hel.fi/fi/asia/hel-2021-004070
2021-44;7.5.2021;Pysäköintijärjestelyt Munkkiniemenrannassa;HEL 2021-004496;7153;https://paatokset.hel.fi/fi/asia/hel-2021-004496
2021-43;7.5.2021;Kaksisuuntaisen pyöräliikenteen järjestelyt yksisuuntaisilla kaduilla Sörnäisessä, Kalliossa, Alppiharjussa, Hermannissa ja Vallilassa;HEL 2021-005054;7123;https://paatokset.hel.fi/fi/asia/hel-2021-005054
